Time,Eng_Speed,Fuel_Rate_01L,Accel_Pos,LU_ON,TM_Out_Speed,Vehicle_Speed_S,Shift_Indicator,Foot_Brake_Pos,Retarder_Pos,Retarder_R_Oil_temp,Hoist_Lever_Pos,Gradient_deg,Live_Weight_ton,Sus_Press_FR_komnet,Sus_Press_FL_komnet,Sus_Press_RR_komnet,Sus_Press_RL_komnet,Rack,Bias,Vehicle_State,Fuel_Injection,TC_Oil_temp,Cool_Temp,Eng_Oil_Temp,Eng_oil_press,Boost_press,Blowby_Press_PM,Ambient_air_temp,TM_Oil_temp,F_Brake_Oil_press,R_Brake_Oil_press,Exh_temp_LBF,Exh_temp_LBR,Exh_temp_RBF,Exh_temp_RBR,Retarder_F_Oil_temp,Atomos_press,key,GPS_Date,GPS_Time,GPS_Latitude,GPS_Longitude,GPS_Altitude,GPS_Speed
08-08-2026 15:10,1204,1016,98,0,298,670,2,0,0,45,0,5,5,39,43,36,31,-0.9,0.1,2,223,52,51,53,41,28,92,29,48,172,171,192,247,235,230,48,90,,80826,94029,N2156.4320,E08523.1500,680,2.19
08-08-2026 15:10,1415,1087,91,0,367,833,2,0,0,45,0,4,5,39,42,36,30,-0.9,0.3,2,275,53,51,53,45,47,124,29,48,208,207,230,297,281,271,48,90,,80826,94030,N2156.4329,E08523.1497,679.9,3.39
08-08-2026 15:10,1669,1240,68,0,476,1116,2,0,0,45,0,3,4,42,40,36,26,-0.8,1.2,2,202,53,51,53,52,82,166,29,48,209,208,275,347,331,316,48,90,,80826,94031,N2156.4340,E08523.1492,679.6,5.22
08-08-2026 15:10,1862,1304,67,1,551,1253,3,0,0,46,0,-1,3,52,39,39,23,-0.3,2.9,2,41,53,51,53,51,52,183,29,48,207,206,317,372,362,349,49,90,,80826,94032,N2156.4352,E08523.1482,679.4,6.32
08-08-2026 15:10,1508,804,65,1,596,1375,3,0,0,46,0,2,3,44,36,41,23,-1,2.6,2,151,53,51,53,44,57,178,29,48,206,205,346,385,377,364,49,90,,80826,94033,N2156.4363,E08523.1467,679.1,6.92
08-08-2026 15:10,1513,1513,63,1,630,1460,3,0,0,46,0,0,2,48,36,40,21,-0.7,3.1,2,200,53,51,53,45,56,182,29,48,205,204,370,409,399,384,49,90,,80826,94034,N2156.4370,E08523.1445,679,6.92
08-08-2026 15:10,1653,1555,74,1,670,1670,3,0,0,46,0,-1,2,51,35,32,23,0.7,2.5,2,258,53,51,53,50,74,192,29,48,203,203,394,434,424,409,49,91,,80826,94035,N2156.4369,E08523.1420,678.6,8.29
08-08-2026 15:10,1766,320,49,0,771,1760,4,0,0,46,0,4,2,46,35,30,19,0,2.2,2,53,53,51,53,48,44,183,29,48,203,202,416,438,434,422,49,91,,80826,94036,N2156.4361,E08523.1394,678.3,9.01
08-08-2026 15:10,1521,792,60,1,797,1820,4,0,0,46,0,5,3,35,50,27,35,-0.7,-2.3,2,145,53,51,53,44,37,164,29,48,202,201,425,441,437,424,49,91,,80826,94037,N2156.4352,E08523.1366,678,9.8
08-08-2026 15:10,1559,1535,70,1,894,2083,4,0,0,46,0,4,4,38,49,17,54,2.6,-4.8,2,269,53,51,53,47,75,169,29,48,201,200,438,461,453,440,49,91,,80826,94038,N2156.4347,E08523.1335,677.8,10.77
08-08-2026 15:10,1669,1576,67,1,909,2192,4,0,0,46,0,0,5,26,57,19,32,-1.8,-4.4,2,292,53,51,53,47,84,180,29,48,200,199,454,481,472,457,50,91,,80826,94039,N2156.4350,E08523.1302,677.6,10.77
08-08-2026 15:10,1704,1747,80,1,918,2208,4,0,0,46,0,4,4,27,48,12,64,3.1,-7.3,2,284,53,51,53,47,113,203,29,48,200,199,474,499,493,478,50,91,,80826,94040,N2156.4360,E08523.1270,677.7,11.65
08-08-2026 15:10,1666,1466,78,1,897,2112,4,0,0,47,0,2,4,25,53,22,43,-0.7,-4.9,2,276,53,51,53,46,111,223,29,48,199,198,492,511,509,494,50,91,,80826,94041,N2156.4376,E08523.1241,677.8,11.1
08-08-2026 15:10,1611,1614,96,1,878,2043,4,0,0,47,0,7,2,29,41,34,35,-1.1,-1.3,2,279,53,51,53,45,118,240,29,48,198,198,507,521,522,508,50,91,,80826,94042,N2156.4396,E08523.1218,678,10.26
08-08-2026 15:10,1587,1627,97,1,868,2043,4,0,0,47,0,7,2,32,42,37,32,-1.5,-0.5,2,281,53,51,53,45,120,253,29,48,198,197,520,529,534,518,50,91,,80826,94043,N2156.4419,E08523.1200,678.1,10.2
08-08-2026 15:10,1597,1605,97,1,873,2048,4,0,0,47,0,8,2,33,41,32,37,-0.3,-1.3,2,279,53,51,53,45,121,264,29,49,198,197,532,536,543,529,50,91,,80826,94044,N2156.4443,E08523.1182,678.7,10.2
08-08-2026 15:10,1608,1604,86,1,877,2074,4,0,0,47,0,7,2,33,39,32,36,-0.2,-1,2,276,53,51,53,45,121,270,29,49,198,197,543,541,552,539,50,91,,80826,94045,N2156.4466,E08523.1165,679.2,10.2
08-08-2026 15:10,1632,1491,69,1,903,2124,4,0,0,47,0,5,2,36,40,34,35,-0.3,-0.5,2,252,53,51,53,46,120,274,29,49,197,195,551,545,558,547,51,91,,80826,94046,N2156.4490,E08523.1149,679.6,11.07
08-08-2026 15:10,1655,1220,68,1,901,2121,4,0,0,47,0,4,2,36,42,32,33,-0.5,-0.7,2,204,53,51,53,46,92,265,29,49,197,195,555,541,558,548,51,91,,80826,94047,N2156.4515,E08523.1135,679.9,11.23
08-08-2026 15:10,1655,1169,67,1,904,2124,4,0,0,47,0,3,2,39,44,25,40,1,-2,2,189,53,51,53,46,83,247,29,49,196,195,554,535,554,543,51,91,,80826,94048,N2156.4541,E08523.1119,680.1,11.1
08-08-2026 15:10,1661,1001,61,1,896,2102,4,0,0,47,0,5,3,35,42,23,45,1.5,-2.9,2,167,53,51,53,46,78,224,29,49,196,195,549,529,549,539,51,91,,80826,94049,N2156.4566,E08523.1102,680.4,11.1
08-08-2026 15:10,1629,1237,71,1,886,2098,4,0,0,47,0,0,3,34,53,25,37,-0.7,-3.1,2,232,53,51,53,45,80,209,29,49,196,194,544,528,546,536,51,91,,80826,94050,N2156.4592,E08523.1084,680.9,10.89
08-08-2026 15:10,1639,1129,63,1,904,2095,4,0,0,47,0,1,3,30,46,36,25,-2.7,-0.5,2,190,53,52,53,45,77,199,29,49,195,194,542,527,546,534,51,91,,80826,94051,N2156.4618,E08523.1066,681.2,11.01
08-08-2026 15:10,1641,1114,71,1,897,2079,4,0,0,48,0,4,3,34,44,33,22,-2.1,0.1,2,261,53,52,53,46,97,195,29,49,195,194,541,532,550,537,51,91,,80826,94052,N2156.4643,E08523.1049,681.5,11.03
08-08-2026 15:10,1706,1723,71,1,944,2194,4,0,0,48,0,4,3,37,40,26,40,1.1,-1.7,2,277,53,52,53,47,115,208,29,49,195,193,545,542,559,545,51,91,,80826,94053,N2156.4669,E08523.1032,681.8,11.08
08-08-2026 15:10,1761,1243,62,1,972,2270,4,0,0,48,0,2,3,34,52,25,38,-0.5,-3.1,2,195,53,52,53,48,82,212,29,49,195,192,550,538,558,547,51,91,,80826,94054,N2156.4694,E08523.1013,681.9,11.08
08-08-2026 15:10,1677,920,60,0,983,2270,5,0,0,48,0,5,3,31,45,47,30,-3.1,0.3,2,125,53,52,53,45,57,192,29,49,194,192,546,525,547,538,51,91,,80826,94055,N2156.4721,E08523.0993,682.2,11.44
08-08-2026 15:10,1372,613,43,1,944,2220,5,0,0,48,0,6,3,35,44,38,35,-1.2,-0.6,2,127,53,52,53,40,38,168,29,49,194,192,537,513,534,526,51,91,,80826,94056,N2156.4747,E08523.0973,682.4,11.5
08-08-2026 15:10,1284,515,40,1,926,2180,5,0,0,48,0,4,3,39,42,32,37,0.2,-0.8,2,118,53,52,53,40,31,144,29,49,194,191,527,503,522,516,51,91,,80826,94057,N2156.4772,E08523.0953,682.6,11.23
08-08-2026 15:10,1251,768,48,1,913,2149,5,0,0,48,0,4,3,38,42,37,34,-0.7,-0.1,2,171,53,52,53,40,37,130,29,49,194,191,517,500,515,509,51,91,,80826,94058,N2156.4796,E08523.0933,682.7,11.14
08-08-2026 15:10,1263,850,57,1,941,2183,5,0,0,48,0,2,3,37,47,22,37,0.5,-2.5,2,179,53,52,53,40,43,126,29,49,194,190,514,506,516,509,52,91,,80826,94059,N2156.4821,E08523.0912,682.9,11.14
08-08-2026 15:10,1295,872,50,1,954,2289,5,0,0,48,0,4,3,38,45,29,40,0.4,-1.8,2,185,53,52,53,39,44,124,29,49,194,190,516,511,520,513,52,91,,80826,94100,N2156.4846,E08523.0892,683.1,11.68
08-08-2026 15:10,1327,796,48,1,975,2298,5,0,0,48,0,2,3,36,46,28,28,-1,-1,2,164,53,52,53,39,41,125,29,49,193,190,518,513,521,515,52,91,,80826,94101,N2156.4873,E08523.0872,683.2,11.52
08-08-2026 15:10,1349,845,58,1,989,2336,5,0,0,48,0,3,3,35,46,32,29,-1.4,-0.8,2,172,53,52,53,39,45,126,29,49,193,189,521,517,523,515,52,91,,80826,94102,N2156.4901,E08523.0853,683.7,12.02
08-08-2026 15:11,1360,947,58,1,1028,2411,5,0,0,48,0,6,3,34,46,31,31,-1.2,-1.2,2,181,53,52,53,39,52,128,29,49,193,189,525,523,528,520,52,91,,80826,94103,N2156.4930,E08523.0834,684,12.24
08-08-2026 15:11,1399,865,54,1,1029,2414,5,0,0,48,0,5,4,38,43,25,38,0.8,-1.8,2,172,53,52,53,39,51,130,29,49,193,189,529,525,531,522,52,91,,80826,94104,N2156.4961,E08523.0816,684.2,12.24
08-08-2026 15:11,1406,911,68,1,1041,2442,5,0,0,48,0,7,3,34,45,41,34,-1.8,-0.4,2,178,53,52,54,40,74,137,29,49,192,189,532,533,536,529,52,91,,80826,94105,N2156.4992,E08523.0800,684.1,12.51
08-08-2026 15:11,1459,1567,86,1,1077,2513,5,0,0,48,0,7,3,31,45,39,37,-1.6,-1.2,2,296,53,52,54,41,94,156,29,49,192,189,542,550,551,542,52,91,,80826,94106,N2156.5025,E08523.0785,684.2,12.87
08-08-2026 15:11,1513,1657,88,1,1146,2690,5,0,0,48,0,4,3,37,40,19,42,2,-2.6,2,301,53,53,54,43,117,183,29,49,192,189,556,564,565,556,52,91,,80826,94107,N2156.5060,E08523.0770,684.4,13.63
